Sun Jun 10 02:35:46 2018

   AbsTime(Us)      Delta            debugid                       arg1             arg2             arg3             arg4              thread         cpu#  command
      16665.3       43.2             BSC_mmap                      0                10000            3                1002              1597ee            2  go
      16668.2        2.9             BSC_mmap_extended_info        ffffffffffffffff 1c40000          10000            0                 1597ee            2  go
      16668.3        0.1             BSC_mmap_extended_info2       0                0                0                0                 1597ee            2  go
      16668.4        0.2(3.1)        BSC_mmap                      0                1c40000          0                3f42              1597ee            2  go
      16696.1       27.6             BSC_open                      16c7968          0                0                1002              1597ee            2  go
      16711.8       15.7(15.7)       BSC_open                      0                3                0                3f42              1597ee            2  go
      16712.1        0.4             BSC_read                      3                17241c0          20               1002              1597ee            2  go
      16721.1        8.9(8.9)        BSC_read                      0                20               0                3f42              1597ee            2  go
      16721.3        0.3             BSC_close                     3                17241c0          20               1002              1597ee            2  go
      16724.4        3.1(3.1)        BSC_close                     0                0                0                3f42              1597ee            2  go


Number of microsecs since in last page  13661.6
   AbsTime(Us)      Delta            debugid                       arg1             arg2             arg3             arg4              thread         cpu#  command

      16991.9      267.4             BSC_pthread_sigmask           3                0                1707200          1002              1597ee            2  go
      16992.3        0.5(0.5)        BSC_pthread_sigmask           0                0                0                3f42              1597ee            2  go
      17109.7      117.3             BSC_sigaltstack               0                5fbffaf8         1707200          1002              1597ee            2  go
      17110.0        0.4(0.4)        BSC_sigaltstack               0                0                0                3f42              1597ee            2  go
      17110.6        0.5             BSC_sigaltstack               5fbffab8         0                1707200          1002              1597ee            2  go
      17110.7        0.2(0.2)        BSC_sigaltstack               0                0                0                3f42              1597ee            2  go
      17113.4        2.7             BSC_pthread_sigmask           3                5fbffb0c         0                1002              1597ee            2  go
      17113.7        0.3(0.3)        BSC_pthread_sigmask           0                0                0                3f42              1597ee            2  go
      17157.4       43.7             BSC_sigaction                 1                0                5fbffab8         1002              1597ee            2  go
      17158.4        1.0(1.0)        BSC_sigaction                 0                0                0                3f42              1597ee            2  go
      17159.0        0.6             BSC_sigaction                 1                5fbffab0         0                1002              1597ee            2  go
      17159.3        0.3(0.3)        BSC_sigaction                 0                0                0                3f42              1597ee            2  go
      17159.6        0.3             BSC_sigaction                 2                0                5fbffab8         1002              1597ee            2  go
      17159.8        0.2(0.2)        BSC_sigaction                 0                0                0                3f42              1597ee            2  go
      17160.2        0.3             BSC_sigaction                 2                5fbffab0         0                1002              1597ee            2  go
      17160.4        0.2(0.2)        BSC_sigaction                 0                0                0                3f42              1597ee            2  go
      17160.7        0.3             BSC_sigaction                 3                0                5fbffab8         1002              1597ee            2  go
      17160.9        0.2(0.2)        BSC_sigaction                 0                0                0                3f42              1597ee            2  go
      17161.2        0.3             BSC_sigaction                 3                5fbffab0         0                1002              1597ee            2  go
